Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1009,Housing General Fund,Building Works,25/02/2025,5105977400,Wythenshawe Community Housing Group,"£100,657.42"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,17/02/2025,5105976217,M\cr Heat Network Supply Co Ltd,"£100,409.29"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,17/02/2025,5105974603,M Travel,"£100,361.00"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,12/02/2025,5105975324,The Depaul Trust,"£100,000.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,28/02/2025,5105978042,Oldham College Corporation,"£99,654.84"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,27/02/2025,5105977931,The Big Life Company,"£99,110.00"
Manchester City Council,1007,Corporate Services,Internal Repairs and Maintenance for buildings,28/02/2025,5105977845,EQUANS Services Limited,"£97,681.19"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Adaptations,13/02/2025,5105976009,P Casey & Co Ltd,"£95,936.92"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,28/02/2025,5105978097,SSG Sustainable Living,"£95,928.00"
Manchester City Council,1004,Childrens & Education Services,Private Finance and Public Private partnership initiatives,17/02/2025,5105973811,NU3PS,"£95,713.62"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,21/02/2025,5105976682,EQUANS Regeneration Limited,"£95,510.59"
Manchester City Council,1007,Corporate Services,Electricity,27/02/2025,1908744081,M\cr Heat Network Supply Co Ltd,"£94,224.37"
Manchester City Council,1007,Corporate Services,Heart of Manc Bid,21/02/2025,5105973866,Heart of Manchester BID Co Ltd,"£93,159.76"
Manchester City Council,1007,Corporate Services,Surplus property Fees,20/02/2025,1908738867,H M Revenues and Customs,"£91,805.00"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,21/02/2025,1908738983,Enabling Futures Ltd,"£91,014.45"
Manchester City Council,1007,Corporate Services,Penalty Chrge Notice,03/02/2025,1908717749,Salford City Council,"£91,003.73"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,21/02/2025,5105975842,Manchester Active,"£91,000.00"
Manchester City Council,1000,Manchester Leisure,Disposables,28/02/2025,5105977885,Redgate Holdings Ltd,"£90,174.50"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,25/02/2025,5105977455,EQUANS Regeneration Limited,"£86,954.14"
Manchester City Council,1007,Corporate Services,Electricity,27/02/2025,1908744083,M\cr Heat Network Supply Co Ltd,"£86,754.91"
Manchester City Council,1000,Manchester Leisure,Works and associated costs for Land and Buildings,17/02/2025,5105975127,Alliance Leisure Services Limited,"£86,491.90"
Manchester City Council,1000,Manchester Leisure,Rents,05/02/2025,5105974156,T15 Consultancy Ltd,"£86,417.14"
Manchester City Council,1005,Adult Social Care,Third party payments to Health Authority,04/02/2025,5105973776,Manchester Uni NHS Foundation Trust,"£86,216.33"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,11/02/2025,5105975103,Edstart Specialist Education Ltd,"£84,799.34"
Manchester City Council,1003,Environment and Operations,Works and associated costs for Land and Buildings,13/02/2025,5105973916,Seddon Construction Ltd,"£84,372.22"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,28/02/2025,5105977609,EQUANS Regeneration Limited,"£82,703.43"
Manchester City Council,1000,Manchester Leisure,Rents,05/02/2025,5105974299,MJ Rental Ltd,"£80,020.92"
Manchester City Council,1006,Childrens Services,Building Works,21/02/2025,5105977161,LendLease Construction(EUROPE) Ltd,"£80,000.00"
Manchester City Council,1000,Manchester Leisure,Special Event,14/02/2025,1908731452,Squash Media & Marketing Limited,"£80,000.00"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,19/02/2025,5105973896,Citizens Advice Manchester,"£79,983.00"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,19/02/2025,5105973797,Citizens Advice Manchester,"£79,983.00"
Manchester City Council,1000,Manchester Leisure,Professional fees,20/02/2025,5105976930,Wythenshawe Forum Trust Ltd,"£79,358.66"
Manchester City Council,1000,Manchester Leisure,Rents,07/02/2025,5105974613,Accommodation Links Ltd,"£79,170.29"
Manchester City Council,1000,Manchester Leisure,Rents,14/02/2025,5105976116,Accommodation Links Ltd,"£79,023.14"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,14/02/2025,5105976153,St John Vianney School,"£78,938.10"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,28/02/2025,5105977884,Redgate Holdings Ltd,"£78,756.00"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,12/02/2025,5105975534,Manchester Care & Repair Ltd,"£78,703.00"
Manchester City Council,1000,Manchester Leisure,Rents,27/02/2025,5105977453,Accommodation Links Ltd,"£77,782.86"
Manchester City Council,1007,Corporate Services,Preventative Maintenance Work,17/02/2025,5105975035,EQUANS Services Limited,"£77,512.75"
Manchester City Council,1000,Manchester Leisure,Professional Fees,24/02/2025,5105976195,Redacted Personal Information,"£77,128.51"
Manchester City Council,1007,Corporate Services,Internal Repairs and Maintenance for buildings,17/02/2025,5105976142,EQUANS Services Limited,"£77,047.13"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,13/02/2025,5105975061,F Parkinson Limited,"£76,892.75"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,07/02/2025,5105973984,Redacted Personal Information,"£76,767.56"
Manchester City Council,1007,Corporate Services,Preventative Maintenance Work,17/02/2025,5105975025,EQUANS Services Limited,"£75,713.01"
Manchester City Council,1000,Manchester Leisure,Rents,14/02/2025,5105976084,District Homes Cic,"£75,673.57"
Manchester City Council,1006,Childrens Services,Building Works,17/02/2025,5105975365,Levenshulme High School (Academy),"£75,537.10"
Manchester City Council,1012,Regeneration Finance,Professional fees,27/02/2025,5105977068,Ernst & Young Llp,"£75,000.00"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,28/02/2025,5105978195,Warden Construction Ltd,"£74,719.49"
Manchester City Council,1002,Hospitality + Trading Services,Vehicle Hire Costs,12/02/2025,5105975468,Winners Contract Hire Ltd,"£74,073.60"
Manchester City Council,1000,Manchester Leisure,Professional fees,20/02/2025,5105976952,Wythenshawe Forum Trust Ltd,"£73,631.75"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,20/02/2025,5105976906,Mace Ltd,"£73,518.00"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,17/02/2025,5105975373,Biffa Municipal Limited,"£72,690.61"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,11/02/2025,5105975119,"TLC: Talk, Listen, Change","£72,500.00"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,21/02/2025,5105976478,EQUANS Regeneration Limited,"£71,757.71"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,11/02/2025,5105975331,Waythrough,"£71,689.00"
Manchester City Council,1000,Manchester Leisure,Professional fees,20/02/2025,5105976951,Wythenshawe Forum Trust Ltd,"£71,177.35"
Manchester City Council,1005,Adult Social Care,Third party payments to Health Authority,03/02/2025,5105973779,Manchester Uni NHS Foundation Trust,"£70,833.33"
Manchester City Council,1004,Childrens & Education Services,Supported Accommodation,11/02/2025,5105975133,Mosscare Housing Ltd,"£70,250.83"
Manchester City Council,1005,Adult Social Care,Supported Accommodation,28/02/2025,5105976190,NHS GREATER MANCHESTER ICB,"£70,030.92"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,11/02/2025,5105975103,Edstart Specialist Education Ltd,"£69,967.33"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,24/02/2025,5105976861,Seddon Construction Ltd,"£69,840.77"
Manchester City Council,1011,Chief Executives,Professional fees,21/02/2025,5105974487,Shelter,"£69,714.76"
Manchester City Council,1002,Hospitality + Trading Services,Professional Fees,18/02/2025,5105974646,Warden Construction Ltd,"£69,500.00"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,07/02/2025,1908725789,Holden Knight Healthcare Temp Ltd,"£69,406.83"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,07/02/2025,1908725788,Holden Knight Healthcare Temp Ltd,"£69,406.52"
Manchester City Council,1000,Manchester Leisure,Professional fees,20/02/2025,5105976929,Wythenshawe Forum Trust Ltd,"£68,722.96"
Manchester City Council,1000,Manchester Leisure,Rents,06/02/2025,5105974569,Devon Homes,"£68,651.80"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,20/02/2025,5105976904,Mace Ltd,"£68,072.00"
Manchester City Council,1007,Corporate Services,Preventative Maintenance Work,24/02/2025,5105976855,EQUANS Services Limited,"£67,955.41"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Adaptations,06/02/2025,5105974088,Rexel UK Ltd,"£67,309.20"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Adaptations,06/02/2025,5105974086,Rexel UK Ltd,"£67,309.20"
Manchester City Council,1002,Hospitality + Trading Services,Vehicle Hire Costs,28/02/2025,5105977863,Winners Contract Hire Ltd,"£66,865.60"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,26/02/2025,5105977604,EQUANS Regeneration Limited,"£66,252.09"
Manchester City Council,1004,Childrens & Education Services,Third party payments relating to Voluntary Organisations,21/02/2025,5105977160,Action For Children Services Ltd,"£66,073.00"
Manchester City Council,1000,Manchester Leisure,Security,20/02/2025,5105976874,G4S Secure Solutions (UK) Ltd,"£66,056.37"
Manchester City Council,1007,Corporate Services,Fees,26/02/2025,1908723609,CDER GROUP LIMITED,"£65,602.66"
Manchester City Council,1005,Adult Social Care,Third party payments to Health Authority,04/02/2025,5105973775,Manchester Uni NHS Foundation Trust,"£65,569.67"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,05/02/2025,5105974107,Pure Innovations Ltd,"£65,021.20"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,24/02/2025,5105976905,Mace Ltd,"£64,916.00"
Manchester City Council,1004,Childrens & Education Services,Subsistence and Conference Expenses,14/02/2025,5105974195,Career Connect,"£64,489.11"
Manchester City Council,1000,Manchester Leisure,Electricity,27/02/2025,1908744641,Haven Power Ltd,"£63,999.70"
Manchester City Council,1000,Manchester Leisure,Electricity,27/02/2025,1908744635,Haven Power Ltd,"£63,468.16"
Manchester City Council,1003,Environment and Operations,Construction Works,20/02/2025,5105976516,J.Hopkins (Contractors) Ltd.,"£62,954.95"
Manchester City Council,1011,Chief Executives,Grant and subscriptions awarded,27/02/2025,5105977872,Manchester Climate Change Agency,"£62,500.00"
Manchester City Council,1004,Childrens & Education Services,Home Care ,28/02/2025,5105978043,IncludED Learning Ltd,"£62,288.10"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,07/02/2025,1908725790,Holden Knight Healthcare Temp Ltd,"£61,557.94"
Manchester City Council,1007,Corporate Services,Preventative Maintenance Work,17/02/2025,5105975036,EQUANS Services Limited,"£61,511.71"
Manchester City Council,1007,Corporate Services,Fees,26/02/2025,1908725269,CDER GROUP LIMITED,"£61,485.96"
